Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,54.410000,56.849998,53.680000,55.480000,50.759815,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,50.402992,927914700
2016-02-01,54.880001,55.090000,48.189999,50.880001,46.551182,814770900
2016-03-01,50.970001,55.639999,50.580002,55.230000,50.893883,641110900
2016-04-01,55.049999,56.770000,49.349998,49.869999,45.954697,699025700
2016-05-01,50.000000,53.000000,49.459999,53.000000,48.838970,530704800
2016-06-01,52.439999,52.950001,48.040001,51.169998,47.482441,823627000
2016-07-01,51.130001,57.290001,50.389999,56.680000,52.595364,647587800
2016-08-01,56.599998,58.700001,56.139999,57.459999,53.319153,467078900
2016-09-01,57.009998,58.189999,55.610001,57.599998,53.782200,526427800
2016-10-01,57.410000,61.369999,56.320000,59.919998,55.948418,614841800
2016-11-01,59.970001,61.410000,57.279999,60.259998,56.265884,613056800
2016-12-01,60.110001,64.099998,58.799999,62.139999,58.413239,513579700
2017-01-01,62.790001,65.910004,61.950001,64.650002,60.772713,493453500
2017-02-01,64.360001,65.239998,62.750000,63.980000,60.142895,440744000
2017-03-01,64.129997,66.190002,63.619999,65.860001,62.285477,489169700
2017-04-01,65.809998,69.139999,64.849998,68.459999,64.744362,433191200
2017-05-01,68.680000,70.739998,67.139999,69.839996,66.049454,517218500
2017-06-01,70.239998,72.889999,68.089996,68.930000,65.562500,629716800
2017-07-01,69.330002,74.419998,68.019997,72.699997,69.148331,469851200
2017-08-01,73.099998,74.959999,71.279999,74.769997,71.117195,444070500
2017-09-01,74.709999,75.970001,72.919998,74.489998,71.228363,375983900
2017-10-01,74.709999,86.199997,73.709999,83.180000,79.537865,449950000
2017-11-01,83.680000,85.059998,82.239998,84.169998,80.484512,421926000
2017-12-01,83.599998,87.500000,80.699997,85.540001,82.205322,466203300
2018-01-01,86.129997,95.449997,85.500000,95.010002,91.306129,574258400
2018-02-01,94.790001,96.070000,83.830002,93.769997,90.114471,725663300
2018-03-01,93.989998,97.239998,87.080002,91.269997,88.123955,750754800
2018-04-01,90.470001,97.900002,87.510002,93.519997,90.296387,668130700
2018-05-01,93.209999,99.989998,92.449997,98.839996,95.433014,509417900
2018-06-01,99.279999,102.690002,97.260002,98.610001,95.623627,602585200
2018-07-01,98.099998,111.150002,98.000000,106.080002,102.867409,569352300
2018-08-01,106.029999,112.779999,104.839996,112.330002,108.928123,456628100
2018-09-01,110.849998,115.290001,107.230003,114.370003,111.333130,480255500
2018-10-01,114.750000,116.180000,100.110001,106.809998,103.973877,927548000
2018-11-01,107.050003,112.239998,99.349998,110.889999,107.945564,720228600
2018-12-01,113.000000,113.419998,93.959999,101.570000,99.300156,944314600
2019-01-01,99.550003,107.900002,97.199997,104.430000,102.096245,714212800
2019-02-01,103.779999,113.239998,102.349998,112.029999,109.526405,469095900
2019-03-01,112.889999,120.820000,108.800003,117.940002,115.796768,589095800
2019-04-01,118.949997,131.369995,118.099998,130.600006,128.226700,433157700
2019-05-01,130.529999,130.649994,123.040001,123.680000,121.432449,547218800
2019-06-01,123.849998,138.399994,119.010002,133.960007,132.012497,508316500
2019-07-01,136.630005,141.679993,134.669998,136.270004,134.288925,484547500
2019-08-01,137.000000,140.940002,130.779999,137.860001,135.855804,584474300
2019-09-01,136.610001,142.369995,134.509995,139.029999,137.465027,472544800
2019-10-01,139.660004,145.669998,133.220001,143.369995,141.756165,549523400
2019-11-01,144.259995,152.500000,142.970001,151.380005,149.676010,392371800
2019-12-01,151.809998,159.550003,146.649994,157.699997,156.455429,450303300
2020-01-01,158.779999,174.050003,156.509995,170.229996,168.886551,558530000
2020-02-01,170.429993,190.699997,152.000000,162.009995,160.731430,887625300
2020-03-01,165.309998,175.000000,132.520004,157.710007,156.892731,1612695500
2020-04-01,153.000000,180.399994,150.360001,179.210007,178.281311,984810800
2020-05-01,175.800003,187.509995,173.800003,183.250000,182.300385,688896100
2020-06-01,182.539993,204.399994,181.350006,203.509995,203.019226,764905600
2020-07-01,203.139999,216.380005,197.509995,205.009995,204.515610,770510200
2020-08-01,211.520004,231.149994,203.139999,225.529999,224.986130,692473600
2020-09-01,225.509995,232.860001,196.250000,210.330002,210.330002,768193600
2020-10-01,213.490005,225.210007,199.619995,202.470001,202.470001,631648000
2020-11-01,204.289993,228.119995,200.119995,214.460007,214.460007,369152300
2020-11-17,216.100006,217.679993,214.080002,214.460007,214.460007,22936389
